Agency,# Employees,%Female,%Male,%White,%Black,%Hispanic,%Asian,%SOR,check gender,check eth/race
DCAS,2386,38,62,29,35,24,10,3,100,101
DOITT,1528,39,61,37,27,14,19,4,100,101
MAYORALTY,1230,58,42,44,20,16,16,5,100,101
BOE,765,48,52,31,30,15,4,20,100,100
NYCERS,453,61,39,31,36,9,22,2,100,100
TRS,355,58,42,38,29,11,19,2,100,99
OPA,158,58,42,27,34,18,20,1,100,100
NYCPPF,147,51,49,41,24,16,18,1,100,100
DORIS,73,55,45,38,23,19,15,4,100,99
CLERK,67,69,31,22,16,45,15,1,100,99
FDNYPF,32,72,28,38,25,6,31,0,100,100
OCB,17,71,29,65,12,18,0,6,100,101
DOF,2026,53,47,30,38,13,17,2,100,100
COMPTROLLER,793,56,44,36,26,15,20,3,100,100
TLC,605,43,57,24,33,25,16,2,100,100
FISA,439,34,66,39,13,7,40,1,100,100
DCA,403,59,41,29,25,25,18,4,100,101
SBS,318,59,41,32,31,16,18,3,100,100
BIC,84,55,45,44,18,19,15,4,100,100
NYCTAX,48,52,48,50,15,10,23,2,100,100
ACTUARY,47,45,55,53,9,4,32,2,100,100
IBO,35,49,51,69,11,6,11,3,100,100
MWFA,13,62,38,31,0,23,31,15,100,100
COUNCIL,786,50,50,43,21,22,10,3,100,99
BP-BK,126,64,36,31,42,15,1,10,100,99
CFB,116,49,51,45,17,10,22,6,100,100
BP-QNS,108,72,28,50,14,10,9,17,100,100
BP-MAN,96,57,43,31,29,26,7,6,100,99
BP-BX,95,59,41,24,17,42,2,15,100,100
PA,59,59,41,14,29,20,5,32,100,100
BP-SI,56,59,41,75,13,4,0,9,100,101
PUBADMIN,47,60,40,36,19,26,4,15,100,100
NYCHA,10937,39,61,18,49,25,5,3,100,100
PARKS,7205,33,67,35,31,25,6,2,100,99
HPD,2365,52,48,26,41,19,11,2,100,99
LPC,76,68,32,67,9,9,9,5,100,99
DCLA,71,58,42,44,18,15,14,8,100,99
DOE,173160,77,23,45,22,22,7,4,100,100
SCA,813,36,64,43,20,14,23,1,100,101
NYCHH,37853,69,31,16,43,19,21,0,100,99
HRA,13384,71,29,14,57,18,9,2,100,100
DOHMH,6963,71,29,25,40,17,15,3,100,100
ACS,6826,75,25,14,63,16,5,2,100,100
DHS,2466,49,51,9,64,20,4,2,100,99
DYCD,565,65,35,20,43,21,11,5,100,100
DFTA,323,72,28,28,35,18,17,2,100,100
DSNY,9815,9,91,52,22,21,4,1,100,100
DEP,6138,25,75,50,21,12,15,2,100,100
DOT,5564,24,76,44,29,15,10,1,100,99
DOB,1616,35,65,37,31,13,16,3,100,100
DDC,1375,37,63,31,23,14,29,2,100,99
DCP,340,49,51,51,14,14,19,3,100,101
LAW,1765,62,38,49,28,11,8,3,100,99
DA-MAN,1490,55,45,57,16,18,8,2,100,101
DA-BK,1128,57,43,43,28,19,6,5,100,101
DA-BX,1019,60,40,37,27,27,5,4,100,100
DA-QNS,693,56,44,53,14,17,7,9,100,100
OATH,670,61,39,48,30,12,8,3,100,101
DA-NARC,220,52,48,48,18,15,9,10,100,100
CCRB,204,49,51,41,23,21,7,8,100,100
DA-SI,159,55,45,75,7,13,1,4,100,100
CCHR,152,60,40,26,25,19,20,10,100,100
BOC,28,68,32,32,39,14,11,4,100,100
COIB,26,54,46,54,4,15,23,4,100,100
NYCCSC,15,67,33,40,33,13,13,0,100,99
EEPC,11,64,36,18,27,18,27,9,100,99
NYPD,56066,35,65,38,26,26,9,2,100,101
FDNY,17526,11,89,66,13,17,4,1,100,101
DOC,12680,42,58,14,57,22,5,2,100,100
DOP,1053,69,31,14,64,16,3,2,100,99
DOI,376,54,46,42,25,15,13,5,100,100
NYCEM,194,48,52,57,14,12,9,8,100,100
